form	count	lemma	gloss
σκληρύνητε	3	σκληρύνω	I harden
ἀνέπεμψε(ν)	3	ἀναπέμπω	I send up to a higher tribunal, I send back
ἑώρακα	3	ὁράω	I see, look upon, experience
καλεῖσθαι	3	καλέω	I call, invite, name
πληρώματος	3	πλήρωμα	fullness, fulfillment, completion
παράγγελλε	3	παραγγέλλω	I notify, command, charge
παῖδας	3	παῖς	a boy or girl child
ἐκβάλλουσι(ν)	3	ἐκβάλλω	I throw, cast, put out, banish, bring forth, produce
ἀφίετε	3	ἀφίημι	I send away, release, remit, forgive, permit
συγκαλεσάμενος	3	συγκαλέω	I call together
Ἰωσῆτος	3	Ἰωσῆς	Joses
γεέννης	3	γέεννα	Gehenna
νῆσος	3	νῆσος	an island
μέλλῃ	3	μέλλω	I am about to
διδαχή	3	διδαχή	teaching, doctrine
καταργήσῃ	3	καταργέω	I bring to naught, sever, abolish
ξενίζεται	3	ξενίζω	I entertain a stranger, I startle
μυριάδων	3	μυριάς	a myriad, ten thousand
μόσχον	3	μόσχος	a calf
ἀγαπῶντας	3	ἀγαπάω	I love
παρέθηκε(ν)	3	παρατίθημι	I set before, serve, entrust to
μνησθῆναι	3	μιμνῄσκομαι	I remember, recall
δοκοῦντες	3	δοκέω	I think, seem, appear, it seems
Λύστροις	3	Λύστρα	Lystra
τιμᾷ	3	τιμάω	I value at a price, honor
ἀναστήσας	3	ἀνίστημι	I raise up, set up, rise from
ἐχέτω	3	ἔχω	I have, hold, possess
πολέμους	3	πόλεμος	a war, battle, strife
συνείδησις	3	συνείδησις	the conscience
ἐκκόπτεται	3	ἐκκόπτω	I cut out, cut off
εἰσελεύσεται	3	εἰσέρχομαι	I go in, come in, enter
κυκλόθεν	3	κυκλόθεν	in a circle round
ἀνάμνησιν	3	ἀνάμνησις	a recalling, remembrance, memory
Ἑσρώμ	3	Ἑσρώμ	Hezron
μύθοις	3	μῦθος	an idle tale, fable
μείνωσι(ν)	3	μένω	I remain, abide
πληγαῖς	3	πληγή	a blow, stripe, wound
ᾅδης	3	ᾅδης	Hades
ὑποδημάτων	3	ὑπόδημα	a sandal
σταυρῶσαι	3	σταυρόω	I crucify
Βηθανίᾳ	3	Βηθανία	Bethany
πληθυνθείη	3	πληθύνω	I increase, multiply
προσελάβοντο	3	προσλαμβάνομαι	I take to myself, welcome
θέρος	3	θέρος	summer
θόρυβον	3	θόρυβος	confused noise, riot, disturbance
Ἀκύλαν	3	Ἀκύλας	Aquila
χρυσῷ	3	χρυσός	anything made of gold
Μᾶρκος	3	Μᾶρκος	Mark
εὐχαριστοῦντες	3	εὐχαριστέω	I thank, give thanks
σιδηρᾷ	3	σιδηροῦς	made of iron
δυνατεῖ	3	δυνατέω	I am powerful, able
καταστήσει	3	καθίστημι	I set, establish, appoint, conduct
δώματος	3	δῶμα	the top of the house
θῆλυ	3	θῆλυς	female
προφητεύσουσι(ν)	3	προφητεύω	I foretell, prophesy
ἀγαλλιάσει	3	ἀγαλλίασις	exultation, exhilaration
σκληροκαρδίαν	3	σκληροκαρδία	hardness of heart
ἀστραπή	3	ἀστραπή	a flash of lightning, brightness, luster
ἀπεκατεστάθη	3	ἀποκαθίστημι	I restore, give back
ἐπετίμων	3	ἐπιτιμάω	I rebuke, chide, admonish, warn
περιπατήσωμεν	3	περιπατέω	I walk, conduct my life
ὄφελος	3	ὄφελος	advantage, gain, profit
ἕτοιμα	3	ἕτοιμος	ready, prepared
ὅσιον	3	ὅσιος	holy, pious
φρέατος	3	φρέαρ	a pit, well
ὀφειλέτης	3	ὀφειλέτης	a debtor, sinner
λύσατε	3	λύω	I loose, untie, release, destroy
ὕστερον	3	ὕστερον	lastly, afterward
κόκκον	3	κόκκος	a kernel, grain
ὑγιαινούσῃ	3	ὑγιαίνω	I am well
χρόνους	3	χρόνος	time, a particular time, season
πτωχή	3	πτωχός	poor, destitute
ἐποίουν	3	ποιέω	I do, make
βαλοῦσι(ν)	3	βάλλω	I cast, throw, rush, put, place, drop
Σαμουήλ	3	Σαμουήλ	Samuel
πόσον	3	πόσος	how much, how great, how many
εὐλογοῦμεν	3	εὐλογέω	I bless
ἀνέλωσι(ν)	3	ἀναιρέω	I take up, abolish, murder
κατηγοροῦσι(ν)	3	κατηγορέω	I accuse, charge, prosecute
φέρε	3	φέρω	I carry, bear, bring, lead
μνᾶ	3	μνᾶ	a mina
ἀγκύρας	3	ἄγκυρα	an anchor
ἥκω	3	ἥκω	I have come, am present
ψυχικόν	3	ψυχικός	animal, natural, sensuous
ἄμμος	3	ἄμμος	sand
μοιχεύσεις	3	μοιχεύω	I commit adultery
Ἀρίσταρχος	3	Ἀρίσταρχος	Aristarchus
κόκκῳ	3	κόκκος	a kernel, grain
ἐπιστρεψάτω	3	ἐπιστρέφω	I turn back to
φεύγετε	3	φεύγω	I flee, escape, shun
δείπνοις	3	δεῖπνον	a dinner, an afternoon or evening meal
βρέφη	3	βρέφος	infant, babe
καιροί	3	καιρός	fitting season, opportunity, time
μνῆμα	3	μνῆμα	a tomb, monument
γενομένων	3	γίνομαι	I come into being, am born
ἐμούς	3	ἐμός	mine
βιβλία	3	βιβλίον	a papyrus roll
προώρισε(ν)	3	προορίζω	I foreordain, predetermine
μετανοεῖτε	3	μετανοέω	I repent, change my mind
ἐκστάσει	3	ἔκστασις	bewilderment, amazement
σπουδαίως	3	σπουδαίως	diligently, earnestly
ἀσθενούντων	3	ἀσθενέω	I am weak, sick
καταμαρτυροῦσι(ν)	3	καταμαρτυρέω	I give evidence against
ἀπαρχήν	3	ἀπαρχή	the first-fruits
ὑπηρετῶν	3	ὑπηρέτης	a servant, an attendant
βλασφημοῦσι(ν)	3	βλασφημέω	I speak evil against, blaspheme
ἀνόμοις	3	ἄνομος	lawless, sinful, illegal
ἐνεργεῖται	3	ἐνεργέω	I work, accomplish, am operative
ἀργυρίου	3	ἀργύριον	silver, a shekel, money in general
διέλθωμεν	3	διέρχομαι	I pass through, spread a report
ἐπεφώνουν	3	ἐπιφωνέω	I call out, shout
ἐργάτης	3	ἐργάτης	a field-laborer, workman
ἱματίοις	3	ἱμάτιον	outer garment
ἀπολωλός	3	ἀπόλλυμι	I destroy, lose, am perishing
Σολομών	3	Σολομών	Solomon
ἀπάντησιν	3	ἀπάντησις	the act of meeting, to meet
γεννηθῆναι	3	γεννάω	I beget, bring forth, give birth to
συνειδήσει	3	συνείδησις	the conscience
ἀδικῶν	3	ἀδικέω	I act unjustly towards
καταβαίνοντα	3	καταβαίνω	I go down, come down
αἶρε	3	αἴρω	I raise, lift up
θείῳ	3	θεῖον	brimstone, sulfur
ἐκράτησε(ν)	3	κρατέω	I lay hold of, obtain
ἐπέταξε(ν)	3	ἐπιτάσσω	I give order, command
εἴσοδον	3	εἴσοδος	entering, entrance, entry
τοσούτῳ	3	τοσοῦτος	so great
κλητοί	3	κλητός	called, summoned
φοβήθητε	3	φοβέομαι	I fear, am terrified
δέδεται	3	δέω	I bind
γάλακτος	3	γάλα	milk
Τρῳάδα	3	Τρῳάς	Troas
ἑτέραν	3	ἕτερος	another, different
συνηγμένων	3	συνάγω	I gather together
πονηρέ	3	πονηρός	evil, bad, wicked
ὦμεν	3	εἰμί	I am, exist
σπουδῇ	3	σπουδή	haste, diligence
διψήσει	3	διψάω	I thirst for, desire earnestly
λῃσταί	3	λῃστής	a robber, brigand, bandit
τρίτου	3	τρίτος	third
τίνων	3	τίς	who, which, what
ὀνειδισμόν	3	ὀνειδισμός	reproach, reviling
τρόμου	3	τρόμος	a trembling
ὠφέλιμος	3	ὠφέλιμος	profitable, beneficial, useful
τράγων	3	τράγος	a he-goat
βαπτιστήν	3	βαπτιστής	the baptizer, the Baptist
μαθητῇ	3	μαθητής	a learner, disciple, pupil
Ναζωραῖον	3	Ναζωραῖος	Nazarene
εἰσελθόντος	3	εἰσέρχομαι	I go in, come in, enter
προσκόπτει	3	προσκόπτω	I stumble
ὤρυξε(ν)	3	ὀρύσσω	I dig, dig out
ἀδελφαί	3	ἀδελφή	a sister
κατακείμενον	3	κατάκειμαι	I recline, am lying ill
δεόμενοι	3	δέομαι	I request, beg
ἐπαγγελίαι	3	ἐπαγγελία	a promise
ἐντραπήσονται	3	ἐντρέπω	I turn to confusion, put to shame, reverence
σκανδαλισθήσονται	3	σκανδαλίζω	I cause to stumble
Ἕλληνες	3	Ἕλλην	a Hellene, a Greek
καταλυθήσεται	3	καταλύω	I break up, overthrow, unharness, find a lodging
μικρούς	3	μικρός	little, small
μυστηρίου	3	μυστήριον	anything hidden, a mystery
τέταρτος	3	τέταρτος	fourth
ἀγωνιζόμενος	3	ἀγωνίζομαι	I strive, contend
ἅλυσιν	3	ἅλυσις	a light chain
Σιλωάμ	3	Σιλωάμ	Siloam
θερισμόν	3	θερισμός	reaping, harvest
πρόβατον	3	πρόβατον	a sheep
δῶτε	3	δίδωμι	I offer, give
λαμπάδες	3	λαμπάς	a torch, lamp, lantern
ἠργάσατο	3	ἐργάζομαι	I word, trade, do
σελήνης	3	σελήνη	the moon
ὑποτάσσεσθαι	3	ὑποτάσσω	I place under, subject to
τρίτη	3	τρίτος	third
λατρεύειν	3	λατρεύω	I serve, worship
σπλαγχνισθείς	3	σπλαγχνίζομαι	I have pity on
ἡγοῦμαι	3	ἡγέομαι	I lead, think
πραΰτητι	3	πραΰτης	mildness, gentleness
κληθῆναι	3	καλέω	I call, invite, name
Ἐλιακίμ	3	Ἐλιακίμ	Eliakim
προσφορά	3	προσφορά	an offering, sacrifice
ὀργισθείς	3	ὀργίζομαι	I irritate, provoke, am angry
ἀνακρίνας	3	ἀνακρίνω	I examine, inquire into
ὑπακοῆς	3	ὑπακοή	obedience
Μακεδονίᾳ	3	Μακεδονία	Macedonia
καθίσατε	3	καθίζω	I set, make to sit
ἐξώτερον	3	ἐξώτερος	outmost, outer
ὀσμήν	3	ὀσμή	an odor
ἀναπεσεῖν	3	ἀναπίπτω	I lie down, recline, fall back upon
προφήτευσον	3	προφητεύω	I foretell, prophesy
εἰσερχόμενος	3	εἰσέρχομαι	I go in, come in, enter
αββα	3	αββα	Father
εἰσήγαγε(ν)	3	εἰσάγω	I lead in, bring in
δίκαιαι	3	δίκαιος	just, righteous, impartial
ἐνεργής	3	ἐνεργής	effective
ἐχθές	3	ἐχθές	yesterday
περισσοτέραν	3	περισσότερος	greater, more
στρατηγός	3	στρατηγός	a general, magistrate, captain of the temple
βεβήλους	3	βέβηλος	profane, secular, unspiritual, godless, worldly
εἰδωλοθύτων	3	εἰδωλόθυτον	sacrificed to an image
μνημόσυνον	3	μνημόσυνον	reminder, memorial, remembrance offering
πετρώδη	3	πετρῶδες	rocky, stony
μωρία	3	μωρία	folly, absurdity
δευτέρῳ	3	δεύτερος	second, in the second place, for the second time
τάλαντον	3	τάλαντον	a talent of silver or gold
σκορπίζει	3	σκορπίζω	I disperse
ἀπαγγεῖλαι	3	ἀπαγγέλλω	I report, bring a report, announce
ἡτοιμασμένον	3	ἑτοιμάζω	I make ready, prepare
ἐξέψυξε(ν)	3	ἐκψύχω	I breathe my last, die, expire
ἠδύναντο	3	δύναμαι	I am powerful, am able
φυλακή	3	φυλακή	a watching, guard, prison, imprisonment
ἔκκοψον	3	ἐκκόπτω	I cut out, cut off
λάβωσι(ν)	3	λαμβάνω	I receive, take
ἐσθῆτα	3	ἐσθής	clothing, raiment
μαρτυρούμενος	3	μαρτυρέω	I witness, testify
ὁμοιωθήσεται	3	ὁμοιόω	I make like, liken, compare
ψαλμοῖς	3	ψαλμός	a psalm
βαπτισθείς	3	βαπτίζω	I dip, submerge, baptize
γέμουσι(ν)	3	γέμω	I am full of
σκιᾷ	3	σκιά	a shadow, thick darkness, an outline
ἐτήρουν	3	τηρέω	I keep, guard, observe
συνελθεῖν	3	συνέρχομαι	I come or go with, accompany, assemble
δεῖν	3	δέω	I bind
βαπτίζω	3	βαπτίζω	I dip, submerge, baptize
ἀνοίγει	3	ἀνοίγω	I open
ἐβλασφήμησαν	3	βλασφημέω	I speak evil against, blaspheme
ἀναγινώσκων	3	ἀναγινώσκω	I read
Ἑβραΐδι	3	Ἑβραΐς	the Hebrew language, Aramaic
προσετέθη	3	προστίθημι	I put to, add, do again
μαρτυρεῖτε	3	μαρτυρέω	I witness, testify
Θεσσαλονικέων	3	Θεσσαλονικεύς	Thessalonian
τρίχας	3	θρίξ	a hair
αἰσχρόν	3	αἰσχρός	base, disgraceful
ἐσχάτη	3	ἔσχατος	last, at the last, finally
ληνόν	3	ληνός	a winepress
ἀληθιναί	3	ἀληθινός	true, real, genuine
πώλησον	3	πωλέω	I sell
ὁδηγήσει	3	ὁδηγέω	I lead, guide
τινῶν	3	τις	any one, some one
πρώτους	3	πρῶτος	first, before
ἐπέτυχε(ν)	3	ἐπιτυγχάνω	I attain, obtain, acquire
πλανήσουσι(ν)	3	πλανάω	I lead astray, deceive
ἐπιτίμησον	3	ἐπιτιμάω	I rebuke, chide, admonish, warn
ἀσθενῆ	3	ἀσθενής	weak, infirm, sick
ὀφειλέται	3	ὀφειλέτης	a debtor, sinner
ἀποδώσω	3	ἀποδίδωμι	I give back, return, sell
Ἑνώχ	3	Ἑνώχ	Enoch
κοινωνίας	3	κοινωνία	participation, communion, fellowship
ἐδίωκον	3	διώκω	I pursue, persecute
ἐπίγεια	3	ἐπίγειος	earthly
συνίστησι(ν)	3	συνίστημι	I commend, prove, am composed of, cohere
ἀρχισυναγώγου	3	ἀρχισυνάγωγος	a leader of the synagogue
καυχᾶσθαι	3	καυχάομαι	I boast, glory
ζηλωτής	3	ζηλωτής	a zealot
ἀμίαντος	3	ἀμίαντος	undefiled, untainted
πρόθυμον	3	πρόθυμος	eager, ready, willing
εὐαγγελιζόμενος	3	εὐαγγελίζω	I bring good news, preach good tidings
μάρτυρα	3	μάρτυς	a witness
ὑπόδειγμα	3	ὑπόδειγμα	a figure, copy, example
βεβλημένον	3	βάλλω	I cast, throw, rush, put, place, drop
ἐξέπνευσε(ν)	3	ἐκπνέω	I breathe my last, expire
σημείων	3	σημεῖον	a sign, miracle, indication
χρηστότητι	3	χρηστότης	goodness, benignity, kindness
διαιρέσεις	3	διαίρεσις	division, distribution, difference, distinction
κόκκινον	3	κόκκινος	crimson
ἀνέβην	3	ἀναβαίνω	I go up, mount, ascend
ὑπηρέτας	3	ὑπηρέτης	a servant, an attendant
δυναμένου	3	δύναμαι	I am powerful, am able
ἐκλεκτοί	3	ἐκλεκτός	chosen, elect, choice, select
ὑπομείνας	3	ὑπομένω	I remain behind, endure
φυγεῖν	3	φεύγω	I flee, escape, shun
ἕτοιμος	3	ἕτοιμος	ready, prepared
κατηντήσαμεν	3	καταντάω	I come down, arrive at, reach
ἐκήρυσσε(ν)	3	κηρύσσω	I proclaim, herald, preach
φέρει	3	φέρω	I carry, bear, bring, lead
ἑκατόνταρχος	3	ἑκατόνταρχος	a centurion
ἁμαρτάνετε	3	ἁμαρτάνω	I sin
ἐγείραντος	3	ἐγείρω	I wake, arouse, raise up
ὠργίσθη	3	ὀργίζομαι	I irritate, provoke, am angry
γενέσεως	3	γένεσις	birth, lineage
φλογί	3	φλόξ	a flame
ἰσχυρά	3	ἰσχυρός	strong, mighty, powerful
δικαιωθέντες	3	δικαιόω	I make righteous, defend the cause of, justify
ἐξελθόντος	3	ἐξέρχομαι	I go out, come out
ἐπιστολῆς	3	ἐπιστολή	a letter, dispatch, epistle
ἑτοιμάσωμεν	3	ἑτοιμάζω	I make ready, prepare
ἐξόν	3	ἔξεστι(ν)	it is permitted, lawful, possible
Ῥώμῃ	3	Ῥώμη	Rome
κατασκευάσει	3	κατασκευάζω	I build, prepare, make
ἄλλων	3	ἄλλος	other, another, different
νεφέλῃ	3	νεφέλη	a cloud
φευγέτωσαν	3	φεύγω	I flee, escape, shun
ἐπιδεῖξαι	3	ἐπιδείκνυμι	I show, prove
στρατηγοί	3	στρατηγός	a general, magistrate, captain of the temple
ἔβρεξε(ν)	3	βρέχω	I moisten, rain, send rain
πρεσβύτερος	3	πρεσβύτερος	elder
ἀνήγαγον	3	ἀνάγω	I lead up, put to sea, set sail
μῆκος	3	μῆκος	length
αἱρέσεις	3	αἵρεσις	a self-chosen opinion, a sect
λυπούμενος	3	λυπέω	I pain, grieve, vex
νενικήκατε	3	νικάω	I conquer, overcome
μηδενός	3	μηδείς	no one, nothing
ἐπερωτῆσαι	3	ἐπερωτάω	I interrogate, question, demand of
κριθῆναι	3	κρίνω	I judge, decide, think good
τολμᾷ	3	τολμάω	I dare, endure, am bold
Κυρηναῖον	3	Κυρηναῖος	belonging to Cyrene, a Cyrenaean
ἐξέρχεται	3	ἐξέρχομαι	I go out, come out
ὅμοια	3	ὅμοιος	like, similar to
δόξας	3	δόξα	honor, renown, glory splendor
ὑποδείξω	3	ὑποδείκνυμι	I show plainly, teach, warn
οἰκοδομήσω	3	οἰκοδομέω	I build, build up, edify
ζημίαν	3	ζημία	damage, loss
ἀρχιερεῖ	3	ἀρχιερεύς	high priest, chief priest
περιεπάτησε(ν)	3	περιπατέω	I walk, conduct my life
βαστάζων	3	βαστάζω	I carry, carry away, bear
πλέξαντες	3	πλέκω	I weave together, plait
ἐξεκλάσθησαν	3	ἐκκλάω	I break off
ἐπουρανίων	3	ἐπουράνιος	heavenly, celestial
περιβεβλημένη	3	περιβάλλω	I cast around, clothe
ἀκοήν	3	ἀκοή	hearing, faculty of hearing, ear
ζηλωταί	3	ζηλωτής	a zealot
εὐαγγελίζεται	3	εὐαγγελίζω	I bring good news, preach good tidings
Ζοροβαβέλ	3	Ζοροβαβέλ	Zerubbabel
ἐποικοδομεῖ	3	ἐποικοδομέω	I build upon a foundation
Δέρβην	3	Δέρβη	Derbe
νεωτέρας	3	νέος	young, new, fresh
Φρυγίαν	3	Φρυγία	Phrygia
περίκειται	3	περίκειμαι	I surround, am surrounded with
χρηστότης	3	χρηστότης	goodness, benignity, kindness
χιλιάδων	3	χιλιάς	a thousand
ποιήσαντι	3	ποιέω	I do, make
ἄνεμοι	3	ἄνεμος	the wind
ἐντολαῖς	3	ἐντολή	an ordinance, injunction, command
κατέκρινε(ν)	3	κατακρίνω	I condemn
ψῆφον	3	ψῆφος	a pebble, a vote
ἐπιγνώσεσθε	3	ἐπιγινώσκω	I come to know, discern, recognize
θώρακας	3	θώραξ	a breast-plate
ἀληθινή	3	ἀληθινός	true, real, genuine
ἀδίκων	3	ἄδικος	unjust, unrighteous
αὗται	3	οὗτος	this, he, she, it
δοκιμάζετε	3	δοκιμάζω	I put to the test, prove, examine
ἐπιμεῖναι	3	ἐπιμένω	I remain, tarry, persist in
βαπτίσει	3	βαπτίζω	I dip, submerge, baptize
ἆρα	3	ἆρα	a particle asking a question, expecting a negative response
ἴχνεσι(ν)	3	ἴχνος	a track, footstep
Ἀντιοχείας	3	Ἀντιόχεια	Antioch
γενομένοις	3	γίνομαι	I come into being, am born
Καϊάφας	3	Καϊάφας	Caiaphas
καλούς	3	καλός	beautiful, good, worthy
δεκαπέντε	3	δεκαπέντε	fifteen
ποιῇ	3	ποιέω	I do, make
παραγγέλλω	3	παραγγέλλω	I notify, command, charge
ὡμοιώθη	3	ὁμοιόω	I make like, liken, compare
μεστόν	3	μεστός	full
Δίδυμος	3	Δίδυμος	the Twin, Didymus, Thomas
δεξάμενος	3	δέχομαι	I take, receive, accept, welcome
καλέσεις	3	καλέω	I call, invite, name
παρθένος	3	παρθένος	a virgin
θηρίων	3	θηρίον	a wild beast, animal
κατέχετε	3	κατέχω	I hold fast, bind, restrain
δέξασθαι	3	δέχομαι	I take, receive, accept, welcome
Κιλικίαν	3	Κιλικία	Cilicia
μεταλαβεῖν	3	μεταλαμβάνω	I share in, partake of
ποταμῷ	3	ποταμός	a river, torrent
σαλευθήσονται	3	σαλεύω	I shake, excite
φονεύσῃς	3	φονεύω	I murder
ἀποδώσουσι(ν)	3	ἀποδίδωμι	I give back, return, sell
θεραπεύειν	3	θεραπεύω	I care for, attend, serve, heal
παρακύψας	3	παρακύπτω	I stoop, peer in, look down
μοιχαλίς	3	μοιχαλίς	an adulteress
Στεφανᾶ	3	Στεφανᾶς	Stephanas
νόσοις	3	νόσος	a disease, malady
σκανδαλίζῃ	3	σκανδαλίζω	I cause to stumble
στηρίξαι	3	στηρίζω	I fix firmly, strengthen
Παμφυλίαν	3	Παμφυλία	Pamphylia
ἀμνός	3	ἀμνός	a lamb
βλασφημίαι	3	βλασφημία	abusive or scurrilous language, blasphemy
δοξασθῇ	3	δοξάζω	I glorify, honor, bestow glory on
ἀναχθέντες	3	ἀνάγω	I lead up, put to sea, set sail
γεννηθῇ	3	γεννάω	I beget, bring forth, give birth to
ποιητής	3	ποιητής	a doer, performer, poet
μαρτύρομαι	3	μαρτύρομαι	I call to witness, testify, solemnly charge
ἐπιθῇ	3	ἐπιτίθημι	I put, place upon, lay on
φυλακάς	3	φυλακή	a watching, guard, prison, imprisonment
ἐγείρας	3	ἐγείρω	I wake, arouse, raise up
ἀκαθαρσίᾳ	3	ἀκαθαρσία	uncleanness, impurity
καθεύδει	3	καθεύδω	I sleep, am sleeping
ἐπληθύνετο	3	πληθύνω	I increase, multiply
ἀπόδος	3	ἀποδίδωμι	I give back, return, sell
ἀστέρος	3	ἀστήρ	a star
Σαλαθιήλ	3	Σαλαθιήλ	Salathiel
Βηθφαγή	3	Βηθφαγή	Bethphage
παραστήσει	3	παρίστημι	I bring, present, come up to and stand by
ὀργῇ	3	ὀργή	anger, wrath, passion
ἐσφράγισε(ν)	3	σφραγίζω	I set a seal upon
ἠγαπημένην	3	ἀγαπάω	I love
παραδῷ	3	παραδίδωμι	I hand over, deliver, betray
ὑπεράνω	3	ὑπεράνω	far above
πενθερά	3	πενθερά	a mother-in-law
καυχήσεως	3	καύχησις	the act of boasting, exultation
γνῶσις	3	γνῶσις	knowledge, doctrine, wisdom
τραπέζας	3	τράπεζα	a table for food or business
νεκρά	3	νεκρός	dead, a corpse
ἤνεγκαν	3	φέρω	I carry, bear, bring, lead
ἁγιασθήτω	3	ἁγιάζω	I make holy, sanctify
ἀπειθήσασι(ν)	3	ἀπειθέω	I disobey, rebel, am disloyal
κηρύξαι	3	κηρύσσω	I proclaim, herald, preach
τοιαύτη	3	τοιοῦτος	of such a kind, such
Λύστραν	3	Λύστρα	Lystra
συμφέρον	3	συμφέρω	I collect, am profitable to
πυρετός	3	πυρετός	a fever
παραδοθήσεται	3	παραδίδωμι	I hand over, deliver, betray
ἐφύλαξα	3	φυλάσσω	I keep, guard, observe
ἑκατονταπλασίονα	3	ἑκατονταπλασίων	a hundredfold
ὀφείλεις	3	ὀφείλω	I owe, ought
εἰπόντες	3	λέγω	I say, speak
πλούσιον	3	πλούσιος	rich
καθαρᾷ	3	καθαρός	clean, pure, unstained
παράκλητος	3	παράκλητος	an advocate, comforter, helper, Paraclete
ἀρέσκειν	3	ἀρέσκω	I please, serve
μαθεῖν	3	μανθάνω	I learn, ascertain
ἀπεκαλύφθη	3	ἀποκαλύπτω	I uncover, bring to light, reveal
δῆλον	3	δῆλος	clear, manifest, evident
καθαίρεσιν	3	καθαίρεσις	taking down, destroying
σώσεις	3	σῴζω	I save, heal
πρωτότοκος	3	πρωτότοκος	first-born
ἔγνωκε(ν)	3	γινώσκω	I come to know, learn, realize
συναναμίγνυσθαι	3	συναναμίγνυμι	I keep company with
ἐπιζητεῖ	3	ἐπιζητέω	I seek after, desire, search for
προσαγωγήν	3	προσαγωγή	approach, access
εἰκόνος	3	εἰκών	an image, likeness, bust
σύνεσιν	3	σύνεσις	understanding
παρουσίαν	3	παρουσία	presence, a coming, arrival, advent
καθαρίσθητι	3	καθαρίζω	I make clean
καθαρός	3	καθαρός	clean, pure, unstained
ἀγοράσωσι(ν)	3	ἀγοράζω	I buy
τέκνῳ	3	τέκνον	a child, descendent, inhabitant
εἰσπορευόμενον	3	εἰσπορεύομαι	I journey into, go into
πλοῦτον	3	πλοῦτος	riches, wealth
γυμνόν	3	γυμνός	wearing only the under-garment, bare
ἐξέλθῃ	3	ἐξέρχομαι	I go out, come out
κατάρας	3	κατάρα	a curse, cursing
ὁμολογίαν	3	ὁμολογία	a profession, confession
λύτρωσιν	3	λύτρωσις	liberation, deliverance, release
διελθών	3	διέρχομαι	I pass through, spread a report
ἐρωτῶμεν	3	ἐρωτάω	I ask, question, request
κακούς	3	κακός	bad, evil
νόσους	3	νόσος	a disease, malady
ἐβουλόμην	3	βούλομαι	I will, intend, desire
ἠνεῳγμένον	3	ἀνοίγω	I open
ἄφθαρτον	3	ἄφθαρτος	imperishable, incorruptible
βροντῆς	3	βροντή	thunder
ἀθανασίαν	3	ἀθανασία	immortality
ἔτυπτον	3	τύπτω	I beat, strike, wound, inflict punishment
κατήργηται	3	καταργέω	I bring to naught, sever, abolish
ἀκροβυστίαν	3	ἀκροβυστία	foreskin
κῆνσον	3	κῆνσος	a poll-tax
στῆθος	3	στῆθος	the breast
μνημείων	3	μνημεῖον	a tomb, sepulcher
ἀπέλιπον	3	ἀπολείπω	I leave, leave behind, desert, am reserved
παραδοῦναι	3	παραδίδωμι	I hand over, deliver, betray
σκανδαλίζεται	3	σκανδαλίζω	I cause to stumble
ἄγαμος	3	ἄγαμος	unmarried
μεσουρανήματι	3	μεσουράνημα	the middle of heaven
ὄφεις	3	ὄφις	a serpent
γαλήνη	3	γαλήνη	a calm
πλανᾷ	3	πλανάω	I lead astray, deceive
χιλίαρχον	3	χιλίαρχος	a military tribune
δόλος	3	δόλος	deceit, guile, treachery
θυμός	3	θυμός	an outburst of passion, wrath
ἀνακείμενος	3	ἀνάκειμαι	I recline, especially at a dinner-table
ποταμοί	3	ποταμός	a river, torrent
παραγίνεται	3	παραγίνομαι	I appear, come, arrive at
τηρεῖσθαι	3	τηρέω	I keep, guard, observe
μνημόνευε	3	μνημονεύω	I remember, make mention of
μέλλον	3	μέλλω	I am about to
ἔκτισε(ν)	3	κτίζω	I create, form, shape, make
κατῴκησε(ν)	3	κατοικέω	I dwell in, settle in, inhabit
πληρῶσαι	3	πληρόω	I fill, fulfill, complete
εὐνοῦχοι	3	εὐνοῦχος	a eunuch, keeper of the bed-chamber
νήσῳ	3	νῆσος	an island
θλιβόμενοι	3	θλίβω	I make narrow, persecute, press hard
σωθήσῃ	3	σῴζω	I save, heal
καινῆς	3	καινός	fresh, new
βοσκομένη	3	βόσκω	I feed
ψυχαί	3	ψυχή	the soul, life, self
ἔλεγχε	3	ἐλέγχω	I rebuke, expose
παραβολή	3	παραβολή	a parable, comparison
ἀκουσάντων	3	ἀκούω	I hear, listen
ἄλλης	3	ἄλλος	other, another, different
προσωπολημψία	3	προσωπολημψία	partiality, favoritism
ἔκλαυσε(ν)	3	κλαίω	I weep, weep for, mourn
γαμεῖν	3	γαμέω	I marry
ἁψάμενος	3	ἅπτω	I kindle, light
ἦλθες	3	ἔρχομαι	I come, go
ῥάβδος	3	ῥάβδος	a rod, staff
ἱερεῖ	3	ἱερεύς	a priest
γραφαί	3	γραφή	a writing, passage of scripture, the scriptures
ἐμῷ	3	ἐμός	mine
ἀκούσουσι(ν)	3	ἀκούω	I hear, listen
λογίζεσθε	3	λογίζομαι	I reckon, count, decide
ἀνακρίνεται	3	ἀνακρίνω	I examine, inquire into
ἀποθανεῖσθε	3	ἀποθνῄσκω	I am dying, am about to die
τετρααρχοῦντος	3	τετρααρχέω	I rule over as a tetrarch
παρατίθεμαι	3	παρατίθημι	I set before, serve, entrust to
ἐξέλθητε	3	ἐξέρχομαι	I go out, come out
Ἰουδαίῳ	3	Ἰουδαῖος	Jewish
καιρῶν	3	καιρός	fitting season, opportunity, time
εὐσεβείᾳ	3	εὐσέβεια	piety, godliness
δεσμά	3	δεσμόν	bond
λιμοί	3	λιμός	a famine, hunger
